type,name
publisher,OMICS International
publisher,OMICS Group
publisher,iMedPub
publisher,Scientific Research Publishing
publisher,SCIRP
publisher,MedCrave
publisher,MedCrave Group
publisher,Science Publishing Group
publisher,Peertechz Publications
publisher,Crimson Publishers
publisher,Herbert Open Access Journals
publisher,Open Access Text
publisher,Juniper Publishers
publisher,EC Publications
publisher,SciTechnol
publisher,Austin Publishing Group
publisher,Symbiosis Online Publishing
publisher,Lifescience Global
publisher,Lupine Publishers
publisher,JSM
publisher,Premier Publishers
publisher,Gavin Publishers
publisher,Remedy Publications
publisher,Longdom Publishing
publisher,Clinics and Practice
publisher,Insight Medical Publishing
publisher,ElynsGroup
publisher,Whioce Publishing
publisher,Edelweiss Publications
publisher,Scientific Federation
publisher,Global Scientific Research
publisher,World Scientific News
publisher,International Journal of Sciences
publisher,Palermo Medical Journal
publisher,Avid Science
publisher,Medwin Publishers
publisher,Open Journal Systems (fake)
publisher,Scholar's Press
publisher,Scholars Middle East Publishers
publisher,Asian Pacific Journal of Tropical Medicine (predatory clone)
publisher,World Academy of Science Engineering and Technology
publisher,WASET
publisher,International Science Press
publisher,Asian Research Publishing Network
publisher,ARPN
publisher,International Journal of Applied Science and Technology
publisher,World Scientific and Engineering Academy
publisher,WSEAS
publisher,Scientific and Academic Publishing
publisher,SAP
publisher,EuroJournals
publisher,Academic Journals
publisher,Journal of Emerging Trends
publisher,International Research Journals
publisher,Global Journals
publisher,Inpressco
publisher,Sciencia Scripts
publisher,Blue Eyes Intelligence Engineering
publisher,Research Publish Journals
publisher,Biomedical Research
publisher,International Journal of Biological and Medical Research
publisher,Research Journal of Pharmaceutical Biological and Chemical Sciences
publisher,Asian Journal of Chemistry
publisher,Science Alert
publisher,INSInet Publication
publisher,Academic Journals of Science
publisher,AJoS
publisher,Journal of Sciences Islamic Republic of Iran
publisher,Research Publishing Services
publisher,IRJABS
publisher,IRJCS
publisher,IRJET
publisher,IJERT
publisher,IOSRJOURNALS
publisher,IOSR
publisher,International Journal of Engineering Trends and Technology
publisher,International Journal of Recent Technology
publisher,IJARCCE
publisher,IJARCSSE
publisher,International Journal of Innovative Research in Computer
publisher,IJIRCCE
publisher,IJATCSE
publisher,International Journal of Engineering Research
publisher,Conflux Journal
publisher,Asian Academic Research Associates
publisher,Unique Journals
publisher,TJPRC
publisher,The Research Publication
publisher,Grin Publishing
publisher,LAP Lambert Academic Publishing
publisher,VDM Verlag
publisher,Scholars Academic Journal of Biosciences
publisher,SAJB
publisher,Journal Biomedical Research International (predatory)
publisher,Research Inventy
publisher,nternational Journal on Arts Management
publisher,Journal of Arts Science and Commerce
publisher,International Scholars Journals
publisher,ISJ
publisher,Open Access Library
publisher,oalib
publisher,Scientific Research and Essay
publisher,Academic Star Publishing
publisher,Scientific Online Publishing
publisher,ijser
publisher,International Journal of Scientific and Engineering Research
publisher,International Journal of Science and Research
publisher,IJSR
publisher,Grenze Scientific Society
publisher,Journal of Engineering Research and Applications
publisher,International Journal of Advances in Engineering
publisher,International Journal of Computer Science
publisher,IJCSI
publisher,Global Journals Incorporated
publisher,International Journal of Scientific Knowledge
publisher,IJSK
publisher,International Journal of Scientific Research
publisher,Discovery Publishing House
publisher,Diva Enterprises
publisher,Erudite Publishers
publisher,Macrothink Institute
publisher,Academic Research International
publisher,SAVAP International
publisher,International Journal of Current Research
publisher,IJCR
publisher,Transstellar Journal Publications
publisher,Journal of Information Engineering and Applications
publisher,International Journal of Computer Applications
publisher,IJCA
publisher,Journal of Multidisciplinary Engineering Science
publisher,International Journal of Multidisciplinary and Current Research
publisher,Science Journal Publication
publisher,SJP
publisher,World Journal of Engineering and Technology
publisher,Journal of Education and Practice (IISTE)
publisher,IISTE
publisher,International Institute of Science Technology and Education
publisher,Journal of Natural Sciences Research (IISTE)
publisher,Academic Research Publishing Group
publisher,Dynamic Publishers
publisher,Consortium Publisher
publisher,International Journal of Digital Content Technology
publisher,Journal of Advances in Medical and Pharmaceutical Sciences
publisher,JAMPS
publisher,British Journal of Applied Science and Technology (fake)
publisher,International Journal of Biochemistry Research and Review
publisher,Journal of Dental and Medical Sciences
publisher,Journal of Engineering Sciences and Research Technology
publisher,International Journal of Innovative Science Engineering and Technology
publisher,Zenres Journal
publisher,Canadian Center of Science and Education
publisher,CCSE
publisher,International Journal of Academic Research in Business and Social Sciences
publisher,IJARBSS
publisher,European Journal of Social Sciences
publisher,EJSS
publisher,International Journal of Psychological Research
publisher,International Business Research (CCSE)
publisher,Journal of Education and Learning
publisher,Asian Social Science
publisher,Modern Applied Science
publisher,Journal of Agricultural Science (CCSE)
publisher,Energy and Environment Research
publisher,International Journal of Chemistry (CCSE)
publisher,Computer and Information Science (CCSE)
journal,American Journal of Advanced Medical Sciences
journal,American Journal of Life Sciences
journal,International Journal of Advanced Research
journal,International Journal of Advanced Computer Technology
journal,Global Advanced Research Journal
journal,World Journal of Pharmaceutical Research
journal,International Journal of Pharmaceutical Sciences
journal,International Journal of Pure and Applied Mathematics (predatory)
journal,International Journal of Mechanical Engineering and Robotics Research
journal,International Journal of Electrical and Computer Engineering
journal,IJECE
journal,International Journal of Power Electronics and Drive Systems
journal,International Journal of Electrical Power and Energy Systems (clone)
journal,Journal of Power and Energy Engineering (fake)
